T (K)      Macro Gruneisen          Macro Gruneisen            LTEC (K-1)               LTEC (K-1)        
124   -1.580981569709593e+00    1.054693971504313e+00   -5.366924667609912e-07    9.885851927483976e-06
125   -1.568501173073588e+00    1.045912920294076e+00   -5.398330686695607e-07    9.938299099758575e-06
126   -1.556166144400451e+00    1.037238641198732e+00   -5.429410498318426e-07    9.990115901754718e-06
127   -1.543974548710229e+00    1.028670129999049e+00   -5.460165043965871e-07    1.004131135319730e-05
128   -1.531924482490045e+00    1.020206371360400e+00   -5.490595272811390e-07    1.009189433750037e-05
129   -1.520014071798866e+00    1.011846339862737e+00   -5.520702140388924e-07    1.014187360312964e-05
130   -1.508241470543869e+00    1.003589000997391e+00   -5.550486607330404e-07    1.019125776504247e-05
131   -1.496604858915864e+00    9.954333121314907e-01   -5.579949638165045e-07    1.024005530619416e-05
132   -1.485102441971981e+00    9.873782234407611e-01   -5.609092200179082e-07    1.028827457910109e-05
133   -1.473732448354602e+00    9.794226788113906e-01   -5.637915262334779e-07    1.033592380745134e-05
134   -1.462493129136200e+00    9.715656167116085e-01   -5.666419794247586e-07    1.038301108775532e-05
135   -1.451382756780354e+00    9.638059710335620e-01   -5.694606765220181e-07    1.042954439102855e-05
136   -1.440399624209889e+00    9.561426719060571e-01   -5.722477143332375e-07    1.047553156450050e-05
137   -1.429542043973590e+00    9.485746464786849e-01   -5.750031894585644e-07    1.052098033334339e-05
138   -1.418808347503538e+00    9.411008196778409e-01   -5.777271982101232e-07    1.056589830241561e-05
139   -1.408196884455602e+00    9.337201149351144e-01   -5.804198365370710e-07    1.061029295801509e-05
140   -1.397706022126075e+00    9.264314548885225e-01   -5.830811999557785e-07    1.065417166963829e-05
141   -1.387334144937966e+00    9.192337620570390e-01   -5.857113834850347e-07    1.069754169174103e-05
142   -1.377079653990803e+00    9.121259594888692e-01   -5.883104815861530e-07    1.074041016549763e-05
143   -1.366940966668294e+00    9.051069713839187e-01   -5.908785881078724e-07    1.078278412055546e-05
144   -1.356916516298478e+00    8.981757236908928e-01   -5.934157962359297e-07    1.082467047678210e-05
145   -1.347004751861466e+00    8.913311446794715e-01   -5.959221984472000e-07    1.086607604600271e-05
146   -1.337204137740116e+00    8.845721654880062e-01   -5.983978864682754e-07    1.090700753372550e-05
147   -1.327513153509371e+00    8.778977206471822e-01   -6.008429512383738e-07    1.094747154085346e-05
148   -1.317930293760271e+00    8.713067485801020e-01   -6.032574828764572e-07    1.098747456538070e-05
149   -1.308454067954917e+00    8.647981920792438e-01   -6.056415706524348e-07    1.102702300407185e-05
150   -1.299083000308982e+00    8.583709987607573e-01   -6.079953029623374e-07    1.106612315412347e-05
151   -1.289815629698572e+00    8.520241214965706e-01   -6.103187673073380e-07    1.110478121480632e-05
152   -1.280650509588498e+00    8.457565188247733e-01   -6.126120502764962e-07    1.114300328908746e-05
153   -1.271586207979257e+00    8.395671553387658e-01   -6.148752375331051e-07    1.118079538523164e-05
154   -1.262621307370207e+00    8.334550020556499e-01   -6.171084138045169e-07    1.121816341838100e-05
155   -1.253754404736652e+00    8.274190367643630e-01   -6.193116628753214e-07    1.125511321211299e-05
156   -1.244984111518702e+00    8.214582443540422e-01   -6.214850675837560e-07    1.129165049997558e-05
157   -1.236309053619993e+00    8.155716171231240e-01   -6.236287098212229e-07    1.132778092699983e-05
158   -1.227727871414467e+00    8.097581550696782e-01   -6.257426705347850e-07    1.136351005118930e-05
159   -1.219239219759624e+00    8.040168661634878e-01   -6.278270297325215e-07    1.139884334498626e-05
160   -1.210841768014748e+00    7.983467666003776e-01   -6.298818664916155e-07    1.143378619671454e-05
161   -1.202534200062782e+00    7.927468810393070e-01   -6.319072589690540e-07    1.146834391199891e-05
162   -1.194315214334635e+00    7.872162428227273e-01   -6.339032844148108e-07    1.150252171516113e-05
163   -1.186183523834835e+00    7.817538941807272e-01   -6.358700191873994e-07    1.153632475059252e-05
164   -1.178137856167529e+00    7.763588864194634e-01   -6.378075387716637e-07    1.156975808410333e-05
165   -1.170176953561971e+00    7.710302800943877e-01   -6.397159177986979e-07    1.160282670424889e-05
166   -1.162299572896693e+00    7.657671451687762e-01   -6.415952300677642e-07    1.163553552363280e-05
167   -1.154504485721671e+00    7.605685611580589e-01   -6.434455485701014e-07    1.166788938018727e-05
168   -1.146790478277880e+00    7.554336172604486e-01   -6.452669455145038e-07    1.169989303843088e-05
169   -1.139156351513672e+00    7.503614124743609e-01   -6.470594923545510e-07    1.173155119070398e-05
170   -1.131600921097542e+00    7.453510557031104e-01   -6.488232598173845e-07    1.176286845838197e-05
171   -1.124123017426854e+00    7.404016658473657e-01   -6.505583179339111e-07    1.179384939306668e-05
172   -1.116721485632199e+00    7.355123718858382e-01   -6.522647360703324e-07    1.182449847775635e-05
173   -1.109395185577081e+00    7.306823129446698e-01   -6.539425829608845e-07    1.185482012799421e-05
174   -1.102142991852709e+00    7.259106383559781e-01   -6.555919267416906e-07    1.188481869299614e-05
175   -1.094963793767696e+00    7.211965077060174e-01   -6.572128349856153e-07    1.191449845675779e-05
176   -1.087856495332515e+00    7.165390908733874e-01   -6.588053747380310e-07    1.194386363914129e-05
177   -1.080820015238604e+00    7.119375680577373e-01   -6.603696125533854e-07    1.197291839694203e-05
178   -1.073853286832047e+00    7.073911297993781e-01   -6.619056145324862e-07    1.200166682493578e-05
179   -1.066955258081781e+00    7.028989769902269e-01   -6.634134463604003e-07    1.203011295690653e-05
180   -1.060124891542330e+00    6.984603208764878e-01   -6.648931733448852e-07    1.205826076665531e-05
181   -1.053361164311054e+00    6.940743830534651e-01   -6.663448604552552e-07    1.208611416899041e-05
182   -1.046663067979983e+00    6.897403954528935e-01   -6.677685723616078e-07    1.211367702069930e-05
183   -1.040029608582255e+00    6.854576003231653e-01   -6.691643734743202e-07    1.214095312150258e-05
184   -1.033459806533266e+00    6.812252502028187e-01   -6.705323279837344e-07    1.216794621499029e-05
185   -1.026952696566604e+00    6.770426078876421e-01   -6.718724998999647e-07    1.219465998954098e-05
186   -1.020507327664887e+00    6.729089463917414e-01   -6.731849530927414e-07    1.222109807922377e-05
